Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
2 BHK Residential Apartment in Brijeshwari Annexe,Mahaver Enclave,Sunshine Realty,870 sq.ft. ,(81 sq.m.) Super built-up Area,? 37, Lac
Residential land / Plot in Rau,Kalani Treasure Fantasy,Samadhan Real Estate,"1,719 sq.ft",(160 sq.m.) Plot Area,? 77.00,0.36
Residential land / Plot in Babji Nagar,,deepali real estate,"1,453 sq.ft",(135 sq.m.) Plot Area,? 93.00,0.21
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,"1,250 sq.ft",(116 sq.m.) Plot Area,? 20, Lac
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,"2,000 sq.ft",(186 sq.m.) Plot Area,? 36, Lac
3 Bedroom Independent House in AB Bypass Road,Shri Vinayak towenship,Space Matrix Realties,"1,200 sq.ft",(111 sq.m.) Plot Area,? 55, Lac
Residential land / Plot in AB Bypass Road,Dlf Garden City Phase 2,Mukesh Patil,"1,264 sq.ft",(117 sq.m.) Plot Area,? 17.00,0.96
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",RealtyONE,"2,400 sq.ft",(223 sq.m.) Plot Area,? 31.00,.2 L
3 BHK Residential Apartment in Bengali Square,Morya Garden,Agrawalrealestate,"1,560 sq.ft",(145 sq.m.) Super built-up Area,? 60, Lac
3 BHK Residential Apartment in Bengali Square,New,Agrawalrealestate,"1,400 sq.ft",(130 sq.m.) Super built-up Area,? 80, Lac
Residential land / Plot in AB Bypass Road,Solitaire park Nepania,Mukesh Patil,800 sq.ft. ,(74 sq.m.) Plot Area,? 28.00,.4 L
3 Bedroom Independent House in MR 11,Kanak Avenue,Mukesh Patil,"1,000 sq.ft",(93 sq.m.) Plot Area,? 88, Lac
